Datum von;Datum bis;Zeitpunkt;Skalierter Netzlast [MWh]
2030-01-01 14:30:00;2030-01-01 14:45:00;2030-01-01 14:37:30;12989,146927541242
2030-01-01 14:45:00;2030-01-01 15:00:00;2030-01-01 14:52:30;12940,323430500099
2030-01-01 15:00:00;2030-01-01 15:15:00;2030-01-01 15:07:30;13074,812695355766
2030-01-01 15:15:00;2030-01-01 15:30:00;2030-01-01 15:22:30;13033,77699538867
2030-01-01 15:30:00;2030-01-01 15:45:00;2030-01-01 15:37:30;13104,166699711792
2030-01-01 15:45:00;2030-01-01 16:00:00;2030-01-01 15:52:30;13135,317888007981
2030-01-01 16:00:00;2030-01-01 16:15:00;2030-01-01 16:07:30;13364,458840378997
2030-01-01 16:15:00;2030-01-01 16:30:00;2030-01-01 16:22:30;13544,476765052172
2030-01-01 16:30:00;2030-01-01 16:45:00;2030-01-01 16:37:30;13760,138837871951
2030-01-01 16:45:00;2030-01-01 17:00:00;2030-01-01 16:52:30;14047,688268298321
2030-01-01 17:00:00;2030-01-01 17:15:00;2030-01-01 17:07:30;14425,096895732935
2030-01-01 17:15:00;2030-01-01 17:30:00;2030-01-01 17:22:30;14547,005873007449
2030-01-01 17:30:00;2030-01-01 17:45:00;2030-01-01 17:37:30;14669,813442252045
2030-01-01 17:45:00;2030-01-01 18:00:00;2030-01-01 17:52:30;14744,995637082273
2030-01-01 18:00:00;2030-01-01 18:15:00;2030-01-01 18:07:30;14765,06419108078
2030-01-01 18:15:00;2030-01-01 18:30:00;2030-01-01 18:22:30;14709,051958278977
2030-01-01 18:30:00;2030-01-01 18:45:00;2030-01-01 18:37:30;14613,801209450241
2030-01-01 18:45:00;2030-01-01 19:00:00;2030-01-01 18:52:30;14478,712883281185
2030-01-01 19:00:00;2030-01-01 19:15:00;2030-01-01 19:07:30;14463,436819789784
2030-01-01 19:15:00;2030-01-01 19:30:00;2030-01-01 19:22:30;14298,994489264704
2030-01-01 19:30:00;2030-01-01 19:45:00;2030-01-01 19:37:30;14162,708040468871
2030-01-01 19:45:00;2030-01-01 20:00:00;2030-01-01 19:52:30;13947,944559619174
2030-01-01 20:00:00;2030-01-01 20:15:00;2030-01-01 20:07:30;13790,091903541364
2030-01-01 20:15:00;2030-01-01 20:30:00;2030-01-01 20:22:30;13566,342502990845
2030-01-01 20:30:00;2030-01-01 20:45:00;2030-01-01 20:37:30;13322,225017785124
2030-01-01 20:45:00;2030-01-01 21:00:00;2030-01-01 20:52:30;13097,277494607826
2030-01-01 21:00:00;2030-01-01 21:15:00;2030-01-01 21:07:30;13090,98735081725
2030-01-01 21:15:00;2030-01-01 21:30:00;2030-01-01 21:22:30;12975,068986676619
2030-01-01 21:30:00;2030-01-01 21:45:00;2030-01-01 21:37:30;12886,707442951849
2030-01-01 21:45:00;2030-01-01 22:00:00;2030-01-01 21:52:30;12833,39098606029
2030-01-01 22:00:00;2030-01-01 22:15:00;2030-01-01 22:07:30;12955,00043267811
2030-01-01 22:15:00;2030-01-01 22:30:00;2030-01-01 22:22:30;12785,166550332535
2030-01-01 22:30:00;2030-01-01 22:45:00;2030-01-01 22:37:30;12591,969276764818
2030-01-01 22:45:00;2030-01-01 23:00:00;2030-01-01 22:52:30;12322,092155083401
2030-01-01 23:00:00;2030-01-01 23:15:00;2030-01-01 23:07:30;12124,40192166527
2030-01-01 23:15:00;2030-01-01 23:30:00;2030-01-01 23:22:30;11814,986753300227
2030-01-01 23:30:00;2030-01-01 23:45:00;2030-01-01 23:37:30;11558,588511170045
2030-01-01 23:45:00;2030-01-02 00:00:00;2030-01-01 23:52:30;11339,931131783325
2030-01-02 00:00:00;2030-01-02 00:15:00;2030-01-02 00:07:30;11229,404319463189
2030-01-02 00:15:00;2030-01-02 00:30:00;2030-01-02 00:22:30;11138,646530484866
2030-01-02 00:30:00;2030-01-02 00:45:00;2030-01-02 00:37:30;10928,97507079897
2030-01-02 00:45:00;2030-01-02 01:00:00;2030-01-02 00:52:30;10781,605987705454
2030-01-02 01:00:00;2030-01-02 01:15:00;2030-01-02 01:07:30;10681,862279026307
