Datum von;Datum bis;Zeitpunkt;Skalierter Netzlast [MWh]
2028-01-01 14:30:00;2028-01-01 14:45:00;2028-01-01 14:37:30;14554,91085399815
2028-01-01 14:45:00;2028-01-01 15:00:00;2028-01-01 14:52:30;14500,20197658084
2028-01-01 15:00:00;2028-01-01 15:15:00;2028-01-01 15:07:30;14650,903117442022
2028-01-01 15:15:00;2028-01-01 15:30:00;2028-01-01 15:22:30;14604,920809428699
2028-01-01 15:30:00;2028-01-01 15:45:00;2028-01-01 15:37:30;14683,795571349361
2028-01-01 15:45:00;2028-01-01 16:00:00;2028-01-01 15:52:30;14718,701848965315
2028-01-01 16:00:00;2028-01-01 16:15:00;2028-01-01 16:07:30;14975,464371813432
2028-01-01 16:15:00;2028-01-01 16:30:00;2028-01-01 16:22:30;15177,18237995947
2028-01-01 16:30:00;2028-01-01 16:45:00;2028-01-01 16:37:30;15418,84122499299
2028-01-01 16:45:00;2028-01-01 17:00:00;2028-01-01 16:52:30;15741,05301837102
2028-01-01 17:00:00;2028-01-01 17:15:00;2028-01-01 17:07:30;16163,955997179683
2028-01-01 17:15:00;2028-01-01 17:30:00;2028-01-01 17:22:30;16300,560372080576
2028-01-01 17:30:00;2028-01-01 17:45:00;2028-01-01 17:37:30;16438,171658835774
2028-01-01 17:45:00;2028-01-01 18:00:00;2028-01-01 17:52:30;16522,416617312738
2028-01-01 18:00:00;2028-01-01 18:15:00;2028-01-01 18:07:30;16544,904315392247
2028-01-01 18:15:00;2028-01-01 18:30:00;2028-01-01 18:22:30;16482,140143140485
2028-01-01 18:30:00;2028-01-01 18:45:00;2028-01-01 18:37:30;16375,407486584014
2028-01-01 18:45:00;2028-01-01 19:00:00;2028-01-01 18:52:30;16224,035071153294
2028-01-01 19:00:00;2028-01-01 19:15:00;2028-01-01 19:07:30;16206,917569630086
2028-01-01 19:15:00;2028-01-01 19:30:00;2028-01-01 19:22:30;16022,652700292027
2028-01-01 19:30:00;2028-01-01 19:45:00;2028-01-01 19:37:30;15869,937735722231
2028-01-01 19:45:00;2028-01-01 20:00:00;2028-01-01 19:52:30;15629,285802543016
2028-01-01 20:00:00;2028-01-01 20:15:00;2028-01-01 20:07:30;15452,404953469868
2028-01-01 20:15:00;2028-01-01 20:30:00;2028-01-01 20:22:30;15201,68390174759
2028-01-01 20:30:00;2028-01-01 20:45:00;2028-01-01 20:37:30;14928,139514661034
2028-01-01 20:45:00;2028-01-01 21:00:00;2028-01-01 20:52:30;14676,07591379968
2028-01-01 21:00:00;2028-01-01 21:15:00;2028-01-01 21:07:30;14669,027530819536
2028-01-01 21:15:00;2028-01-01 21:30:00;2028-01-01 21:22:30;14539,135901614018
2028-01-01 21:30:00;2028-01-01 21:45:00;2028-01-01 21:37:30;14440,122902607227
2028-01-01 21:45:00;2028-01-01 22:00:00;2028-01-01 21:52:30;14380,379465918384
2028-01-01 22:00:00;2028-01-01 22:15:00;2028-01-01 22:07:30;14516,648203534509
2028-01-01 22:15:00;2028-01-01 22:30:00;2028-01-01 22:22:30;14326,341863070611
2028-01-01 22:30:00;2028-01-01 22:45:00;2028-01-01 22:37:30;14109,855814394748
2028-01-01 22:45:00;2028-01-01 23:00:00;2028-01-01 22:52:30;13807,446620818077
2028-01-01 23:00:00;2028-01-01 23:15:00;2028-01-01 23:07:30;13585,926012870683
2028-01-01 23:15:00;2028-01-01 23:30:00;2028-01-01 23:22:30;13239,212697704532
2028-01-01 23:30:00;2028-01-01 23:45:00;2028-01-01 23:37:30;12951,907181942457
2028-01-01 23:45:00;2028-01-02 00:00:00;2028-01-01 23:52:30;12706,891964061248
2028-01-02 00:00:00;2028-01-02 00:15:00;2028-01-02 00:07:30;12583,041805981567
2028-01-02 00:15:00;2028-01-02 00:30:00;2028-01-02 00:22:30;12481,343708696626
2028-01-02 00:30:00;2028-01-02 00:45:00;2028-01-02 00:37:30;12246,39760935848
2028-01-02 00:45:00;2028-01-02 01:00:00;2028-01-02 00:52:30;12081,26406525224
2028-01-02 01:00:00;2028-01-02 01:15:00;2028-01-02 01:07:30;11969,496849424237
2028-01-02 01:15:00;2028-01-02 01:30:00;2028-01-02 01:22:30;11844,639779490251
2028-01-02 01:30:00;2028-01-02 01:45:00;2028-01-02 01:37:30;11842,625955781637
2028-01-02 01:45:00;2028-01-02 02:00:00;2028-01-02 01:52:30;11901,362480616175
2028-01-02 02:00:00;2028-01-02 02:15:00;2028-01-02 02:07:30;11874,511497834672
2028-01-02 02:15:00;2028-01-02 02:30:00;2028-01-02 02:22:30;11766,771929423894
2028-01-02 02:30:00;2028-01-02 02:45:00;2028-01-02 02:37:30;11816,781884854441
2028-01-02 02:45:00;2028-01-02 03:00:00;2028-01-02 02:52:30;11912,774148298313
2028-01-02 03:00:00;2028-01-02 03:15:00;2028-01-02 03:07:30;12014,807882868023
2028-01-02 03:15:00;2028-01-02 03:30:00;2028-01-02 03:22:30;12037,29558094753
2028-01-02 03:30:00;2028-01-02 03:45:00;2028-01-02 03:37:30;12113,149607305275
2028-01-02 03:45:00;2028-01-02 04:00:00;2028-01-02 03:52:30;12245,055060219405
2028-01-02 04:00:00;2028-01-02 04:15:00;2028-01-02 04:07:30;12401,462034921657
2028-01-02 04:15:00;2028-01-02 04:30:00;2028-01-02 04:22:30;12575,993423001422
2028-01-02 04:30:00;2028-01-02 04:45:00;2028-01-02 04:37:30;12775,697607438848
2028-01-02 04:45:00;2028-01-02 05:00:00;2028-01-02 04:52:30;12989,834195121328
2028-01-02 05:00:00;2028-01-02 05:15:00;2028-01-02 05:07:30;13257,672748366815
2028-01-02 05:15:00;2028-01-02 05:30:00;2028-01-02 05:22:30;13495,30394598311
2028-01-02 05:30:00;2028-01-02 05:45:00;2028-01-02 05:37:30;13822,88593591744
2028-01-02 05:45:00;2028-01-02 06:00:00;2028-01-02 05:52:30;14333,054608765986
2028-01-02 06:00:00;2028-01-02 06:15:00;2028-01-02 06:07:30;15105,02036373418
2028-01-02 06:15:00;2028-01-02 06:30:00;2028-01-02 06:22:30;15590,016240225068
2028-01-02 06:30:00;2028-01-02 06:45:00;2028-01-02 06:37:30;16075,683391285493
2028-01-02 06:45:00;2028-01-02 07:00:00;2028-01-02 06:52:30;16422,396706451644
2028-01-02 07:00:00;2028-01-02 07:15:00;2028-01-02 07:07:30;16921,82498618759
2028-01-02 07:15:00;2028-01-02 07:30:00;2028-01-02 07:22:30;17337,00830744657
2028-01-02 07:30:00;2028-01-02 07:45:00;2028-01-02 07:37:30;17803,879770559943
