Anteil EE Kategorie;2020;2021;2022;2023;2024;2025
0-10%;0;0;0;0;0;0
10-20%;1931;2867;2348;1703;1339;1277
20-30%;5551;7957;5967;4375;4458;4620
30-40%;6408;7451;6125;4970;5216;3740
40-50%;6090;5727;5096;4760;5302;3937
50-60%;5456;4517;5232;4859;4898;3555
60-70%;4245;3084;4194;4492;4452;2809
70-80%;2810;1888;2946;3931;3601;2624
80-90%;1724;1050;2079;2773;2523;2285
90-100%;730;395;939;1941;1743;1789
>100%;191;104;114;1236;1604;2548
