timestamp	month	day_type	value_kWh
2000-01-01 12:00:00	1	FT	38,8
2000-01-01 12:15:00	1	FT	36,35
2000-01-01 12:30:00	1	FT	33,6
2000-01-01 12:45:00	1	FT	31,25
2000-01-01 13:00:00	1	FT	29,85
2000-01-01 13:15:00	1	FT	29,225
2000-01-01 13:30:00	1	FT	29,025
2000-01-01 13:45:00	1	FT	28,95
2000-01-01 14:00:00	1	FT	28,7
2000-01-01 14:15:00	1	FT	28,3
2000-01-01 14:30:00	1	FT	27,825
2000-01-01 14:45:00	1	FT	27,325
2000-01-01 15:00:00	1	FT	26,875
2000-01-01 15:15:00	1	FT	26,525
2000-01-01 15:30:00	1	FT	26,35
2000-01-01 15:45:00	1	FT	26,4
2000-01-01 16:00:00	1	FT	26,725
2000-01-01 16:15:00	1	FT	27,45
2000-01-01 16:30:00	1	FT	28,6
2000-01-01 16:45:00	1	FT	30,325
2000-01-01 17:00:00	1	FT	32,675
2000-01-01 17:15:00	1	FT	35,6
2000-01-01 17:30:00	1	FT	39,025
2000-01-01 17:45:00	1	FT	42,85
2000-01-01 18:00:00	1	FT	46,95
2000-01-01 18:15:00	1	FT	51,025
2000-01-01 18:30:00	1	FT	54,625
2000-01-01 18:45:00	1	FT	57,425
2000-01-01 19:00:00	1	FT	59,05
2000-01-01 19:15:00	1	FT	59,35
2000-01-01 19:30:00	1	FT	58,225
2000-01-01 19:45:00	1	FT	55,575
2000-01-01 20:00:00	1	FT	51,425
2000-01-01 20:15:00	1	FT	46,375
2000-01-01 20:30:00	1	FT	41,175
2000-01-01 20:45:00	1	FT	36,6
2000-01-01 21:00:00	1	FT	33,15
2000-01-01 21:15:00	1	FT	30,75
2000-01-01 21:30:00	1	FT	29,075
2000-01-01 21:45:00	1	FT	27,8
2000-01-01 22:00:00	1	FT	26,65
2000-01-01 22:15:00	1	FT	25,525
2000-01-01 22:30:00	1	FT	24,4
2000-01-01 22:45:00	1	FT	23,15
2000-01-01 23:00:00	1	FT	21,8
2000-01-01 23:15:00	1	FT	20,4
2000-01-01 23:30:00	1	FT	19,125
2000-01-01 23:45:00	1	FT	18,075
2000-01-01 00:00:00	1	WT	18,1
2000-01-01 00:15:00	1	WT	17,35
2000-01-01 00:30:00	1	WT	16,725
2000-01-01 00:45:00	1	WT	16,2
2000-01-01 01:00:00	1	WT	15,8
2000-01-01 01:15:00	1	WT	15,475
2000-01-01 01:30:00	1	WT	15,25
2000-01-01 01:45:00	1	WT	15,05
2000-01-01 02:00:00	1	WT	14,9
2000-01-01 02:15:00	1	WT	14,8
2000-01-01 02:30:00	1	WT	14,7
2000-01-01 02:45:00	1	WT	14,6
2000-01-01 03:00:00	1	WT	14,475
2000-01-01 03:15:00	1	WT	14,35
2000-01-01 03:30:00	1	WT	14,225
2000-01-01 03:45:00	1	WT	14,125
2000-01-01 04:00:00	1	WT	14,075
2000-01-01 04:15:00	1	WT	14,075
2000-01-01 04:30:00	1	WT	14,15
2000-01-01 04:45:00	1	WT	14,35
2000-01-01 05:00:00	1	WT	14,7
2000-01-01 05:15:00	1	WT	15,225
2000-01-01 05:30:00	1	WT	15,95
2000-01-01 05:45:00	1	WT	16,9
2000-01-01 06:00:00	1	WT	18,125
2000-01-01 06:15:00	1	WT	19,75
2000-01-01 06:30:00	1	WT	21,925
2000-01-01 06:45:00	1	WT	24,775
2000-01-01 07:00:00	1	WT	28,4
2000-01-01 07:15:00	1	WT	32,625
2000-01-01 07:30:00	1	WT	37,225
2000-01-01 07:45:00	1	WT	41,925
2000-01-01 08:00:00	1	WT	46,45
2000-01-01 08:15:00	1	WT	50,425
2000-01-01 08:30:00	1	WT	53,4
2000-01-01 08:45:00	1	WT	54,875
2000-01-01 09:00:00	1	WT	54,625
2000-01-01 09:15:00	1	WT	52,9
2000-01-01 09:30:00	1	WT	50,2
2000-01-01 09:45:00	1	WT	47
2000-01-01 10:00:00	1	WT	43,75
2000-01-01 10:15:00	1	WT	40,85
2000-01-01 10:30:00	1	WT	38,625
2000-01-01 10:45:00	1	WT	37,525
2000-01-01 11:00:00	1	WT	37,675
2000-01-01 11:15:00	1	WT	38,525
2000-01-01 11:30:00	1	WT	39,35
2000-01-01 11:45:00	1	WT	39,375
2000-01-01 12:00:00	1	WT	38,05
2000-01-01 12:15:00	1	WT	35,8
2000-01-01 12:30:00	1	WT	33,175
2000-01-01 12:45:00	1	WT	30,8
2000-01-01 13:00:00	1	WT	29,125
2000-01-01 13:15:00	1	WT	28,125
2000-01-01 13:30:00	1	WT	27,575
2000-01-01 13:45:00	1	WT	27,325
2000-01-01 14:00:00	1	WT	27,2
2000-01-01 14:15:00	1	WT	27,125
2000-01-01 14:30:00	1	WT	27,1
2000-01-01 14:45:00	1	WT	27,1
2000-01-01 15:00:00	1	WT	27,075
2000-01-01 15:15:00	1	WT	27,075
2000-01-01 15:30:00	1	WT	27,15
2000-01-01 15:45:00	1	WT	27,325
2000-01-01 16:00:00	1	WT	27,65
2000-01-01 16:15:00	1	WT	28,275
2000-01-01 16:30:00	1	WT	29,35
2000-01-01 16:45:00	1	WT	31,025
2000-01-01 17:00:00	1	WT	33,425
2000-01-01 17:15:00	1	WT	36,5
2000-01-01 17:30:00	1	WT	40,125
2000-01-01 17:45:00	1	WT	44,225
2000-01-01 18:00:00	1	WT	48,625
2000-01-01 18:15:00	1	WT	52,875
2000-01-01 18:30:00	1	WT	56,525
2000-01-01 18:45:00	1	WT	59,05
2000-01-01 19:00:00	1	WT	60,1
2000-01-01 19:15:00	1	WT	59,675
2000-01-01 19:30:00	1	WT	57,875
2000-01-01 19:45:00	1	WT	54,875
2000-01-01 20:00:00	1	WT	50,85
2000-01-01 20:15:00	1	WT	46,225
2000-01-01 20:30:00	1	WT	41,525
2000-01-01 20:45:00	1	WT	37,275
2000-01-01 21:00:00	1	WT	33,9
2000-01-01 21:15:00	1	WT	31,3
2000-01-01 21:30:00	1	WT	29,325
2000-01-01 21:45:00	1	WT	27,8
2000-01-01 22:00:00	1	WT	26,525
2000-01-01 22:15:00	1	WT	25,425
2000-01-01 22:30:00	1	WT	24,425
2000-01-01 22:45:00	1	WT	23,4
2000-01-01 23:00:00	1	WT	22,275
2000-01-01 23:15:00	1	WT	21,15
2000-01-01 23:30:00	1	WT	20,025
2000-01-01 23:45:00	1	WT	19
2000-02-01 00:00:00	2	SA	18,475
2000-02-01 00:15:00	2	SA	18,25
2000-02-01 00:30:00	2	SA	18,15
2000-02-01 00:45:00	2	SA	18,075
2000-02-01 01:00:00	2	SA	17,875
2000-02-01 01:15:00	2	SA	17,6
2000-02-01 01:30:00	2	SA	17,275
2000-02-01 01:45:00	2	SA	16,9
2000-02-01 02:00:00	2	SA	16,55
2000-02-01 02:15:00	2	SA	16,2
2000-02-01 02:30:00	2	SA	15,85
2000-02-01 02:45:00	2	SA	15,525
2000-02-01 03:00:00	2	SA	15,175
2000-02-01 03:15:00	2	SA	14,85
2000-02-01 03:30:00	2	SA	14,575
2000-02-01 03:45:00	2	SA	14,35
2000-02-01 04:00:00	2	SA	14,225
2000-02-01 04:15:00	2	SA	14,2
2000-02-01 04:30:00	2	SA	14,25
2000-02-01 04:45:00	2	SA	14,35
2000-02-01 05:00:00	2	SA	14,55
2000-02-01 05:15:00	2	SA	14,8
2000-02-01 05:30:00	2	SA	15,125
2000-02-01 05:45:00	2	SA	15,525
2000-02-01 06:00:00	2	SA	16,025
2000-02-01 06:15:00	2	SA	16,85
2000-02-01 06:30:00	2	SA	18,225
2000-02-01 06:45:00	2	SA	20,375
2000-02-01 07:00:00	2	SA	23,475
2000-02-01 07:15:00	2	SA	27,35
2000-02-01 07:30:00	2	SA	31,725
2000-02-01 07:45:00	2	SA	36,35
2000-02-01 08:00:00	2	SA	40,95
2000-02-01 08:15:00	2	SA	45,25
2000-02-01 08:30:00	2	SA	48,9
2000-02-01 08:45:00	2	SA	51,65
2000-02-01 09:00:00	2	SA	53,225
2000-02-01 09:15:00	2	SA	53,65
2000-02-01 09:30:00	2	SA	53,025
2000-02-01 09:45:00	2	SA	51,4
2000-02-01 10:00:00	2	SA	48,975
2000-02-01 10:15:00	2	SA	46,25
2000-02-01 10:30:00	2	SA	43,85
2000-02-01 10:45:00	2	SA	42,375
2000-02-01 11:00:00	2	SA	42,225
2000-02-01 11:15:00	2	SA	42,825
2000-02-01 11:30:00	2	SA	43,375
2000-02-01 11:45:00	2	SA	43,075
2000-02-01 12:00:00	2	SA	41,35
2000-02-01 12:15:00	2	SA	38,625
2000-02-01 12:30:00	2	SA	35,5
2000-02-01 12:45:00	2	SA	32,65
2000-02-01 13:00:00	2	SA	30,525
2000-02-01 13:15:00	2	SA	29,025
2000-02-01 13:30:00	2	SA	27,9
2000-02-01 13:45:00	2	SA	26,85
2000-02-01 14:00:00	2	SA	25,725
2000-02-01 14:15:00	2	SA	24,55
2000-02-01 14:30:00	2	SA	23,5
2000-02-01 14:45:00	2	SA	22,7
2000-02-01 15:00:00	2	SA	22,225
2000-02-01 15:15:00	2	SA	22,05
2000-02-01 15:30:00	2	SA	22
2000-02-01 15:45:00	2	SA	22
2000-02-01 16:00:00	2	SA	21,975
2000-02-01 16:15:00	2	SA	22,125
2000-02-01 16:30:00	2	SA	22,725
2000-02-01 16:45:00	2	SA	24,075
2000-02-01 17:00:00	2	SA	26,375
2000-02-01 17:15:00	2	SA	29,45
2000-02-01 17:30:00	2	SA	33,175
2000-02-01 17:45:00	2	SA	37,275
2000-02-01 18:00:00	2	SA	41,6
2000-02-01 18:15:00	2	SA	45,85
2000-02-01 18:30:00	2	SA	49,75
2000-02-01 18:45:00	2	SA	53,025
2000-02-01 19:00:00	2	SA	55,375
2000-02-01 19:15:00	2	SA	56,55
2000-02-01 19:30:00	2	SA	56,225
2000-02-01 19:45:00	2	SA	54,2
2000-02-01 20:00:00	2	SA	50,325
2000-02-01 20:15:00	2	SA	45,325
2000-02-01 20:30:00	2	SA	40,075
2000-02-01 20:45:00	2	SA	35,425
2000-02-01 21:00:00	2	SA	32,075
2000-02-01 21:15:00	2	SA	29,825
2000-02-01 21:30:00	2	SA	28,3
2000-02-01 21:45:00	2	SA	27,1
2000-02-01 22:00:00	2	SA	25,925
2000-02-01 22:15:00	2	SA	24,7
2000-02-01 22:30:00	2	SA	23,475
2000-02-01 22:45:00	2	SA	22,225
2000-02-01 23:00:00	2	SA	21
2000-02-01 23:15:00	2	SA	19,825
2000-02-01 23:30:00	2	SA	18,75
2000-02-01 23:45:00	2	SA	17,825
2000-02-01 00:00:00	2	FT	17,075
2000-02-01 00:15:00	2	FT	16,5
2000-02-01 00:30:00	2	FT	16,075
2000-02-01 00:45:00	2	FT	15,75
2000-02-01 01:00:00	2	FT	15,525
2000-02-01 01:15:00	2	FT	15,35
2000-02-01 01:30:00	2	FT	15,2
2000-02-01 01:45:00	2	FT	15,05
2000-02-01 02:00:00	2	FT	14,875
2000-02-01 02:15:00	2	FT	14,7
2000-02-01 02:30:00	2	FT	14,5
2000-02-01 02:45:00	2	FT	14,35
2000-02-01 03:00:00	2	FT	14,25
2000-02-01 03:15:00	2	FT	14,175
2000-02-01 03:30:00	2	FT	14,15
2000-02-01 03:45:00	2	FT	14,125
2000-02-01 04:00:00	2	FT	14,1
2000-02-01 04:15:00	2	FT	14,125
2000-02-01 04:30:00	2	FT	14,2
2000-02-01 04:45:00	2	FT	14,35
2000-02-01 05:00:00	2	FT	14,625
2000-02-01 05:15:00	2	FT	15,125
2000-02-01 05:30:00	2	FT	15,925
2000-02-01 05:45:00	2	FT	17,125
